id,title,author,genre,description,rating,date,completed,age,free,link
616238,사이드킥,신의철,"스토리, 판타지",슈퍼히어로의 조수 '사이드킥'진정한 영웅으로 성장해 나가는 그들의 스펙타클 액션 판타지!,9.93,2015.02.24 23:09,TRUE,15세 이용가,TRUE,https://comic.naver.com/webtoon/list?titleId=616238
642653,사이드킥 2~3,신의철,"스토리, 판타지",슈퍼히어로의 조수 '사이드킥' 악당 빌런들과 맞서 싸우는 슈퍼히어로와사이드킥들의 이야기!,9.97,2020.11.16 23:01,TRUE,15세 이용가,TRUE,https://comic.naver.com/webtoon/list?titleId=642653
801251,사이코패스 히어로,주삼술 / 매실,"스토리, 드라마","좀비가 창궐한 세상, 자아를 가진 사이코패스 좀비가 인류를 구한다?!",9.14,2022.10.17 10:00,TRUE,,TRUE,https://comic.naver.com/webtoon/list?titleId=801251
801743,사장님은 투타임,Fortune King / 이삼,"스토리, 드라마","사성그룹 사장 김혜나는 붉은 실을 볼 수 있는 최 비서의 도움으로 운명의 상대인 오성그룹 이우영 부회장을 만나게 되고, 우연한 사고로 앙숙이 된 자유로운 영혼의 뮤지션 박희수와도 붉은 실이 연결되어 있다는 사실을 알게 된다. 설상가상 운명의 장난으로혜나는 이 두 사람과의 사랑을 유지해야만 주변 사람이 죽는 불운을 막을 수 있는데, 그녀는 피할 수 없는 운명을 받아들이고사생결단의 각오로 불가능해 보이는 양다리 작전을 수행하게 된다.",8.67,2022.10.31 10:00,TRUE,,TRUE,https://comic.naver.com/webtoon/list?titleId=801743
743031,사장님을 잠금해제,박성현,"스토리, 개그","얼떨결에 죽어 스마트폰이 된 39살 대기업 천재 CEO 선주,얼떨결에 그 스마트폰을 주운 29살 취준생 인성,아홉수 두 사람이 힘을 합쳐 살인범을 찾는다.",9.94,2021.04.25 23:11,TRUE,전체연령가,TRUE,https://comic.naver.com/webtoon/list?titleId=743031
797511,사주팔자,문토 / 혜경 / 서자영,"스토리, 로맨스","[한 여자를 죽여야만 살 수 있는 팔자라면, 그건 정말 저주 받은 운명 아닙니까]폭군의 사주를 가지고 태어난 이운, 모두가 기피하는 드센 팔자를 타고 태어난 민해명. 사주로 이어진 우연한 만남과 운명 같은 사랑으로 그려진 픽션 사극 로맨스.",9.87,2022.07.18 10:00,TRUE,,TRUE,https://comic.naver.com/webtoon/list?titleId=797511
784828,사파리 로맨스,yoshua / 윤정,"스토리, 로맨스","""그 많던 바나나는 누가 다 먹었을까?""낮에는 동물원 사육사로 일하는, 28년 모태솔로 봉우리! 남들은 다~~~해봤다는 연애 한 번 못해봤다!외로운 사육사 봉우리, 그러나 밤만 되면 본능, 육감 충실 19금 로맨스 소설 ""사파리 로맨스"" 작가 교미인으로 변신!넘치는 욕망을 과감하게 분출하는데...한편, 동물원의 새로운 원장 강산호는 우연히 교미인의 소설을 읽게 되고잠잠하던 그의 욕망이 교미인의 육감적인 소설에만 일어선다!",9.69,2022.11.16 22:00,FALSE,전체연령가,TRUE,https://comic.naver.com/webtoon/list?titleId=784828
800726,사표내고 이계에서 힐링합니다,덤보 / 파란 / 딥블랙,"스토리, 판타지","평범하지만 행복한 삶을 살던 주인공 이수.5년 전 갑작스레 부모님을 잃고 폐인이 되어 하루하루를 힘겹게 살아간다.숨 막히는 일상에 메말라가던 그때, 다용도실에서 차원문이 열렸다. 가본 적 없는 곳, 무엇이 있을지 모르는 곳.평민으로 시작해 영주까지, 이세계에서 잔잔하게 즐기는 힐링 라이프.",9.9,2022.12.26 22:52,FALSE,전체연령가,FALSE,https://comic.naver.com/webtoon/list?titleId=800726
795262,사형소년,"박태준만화회사, 김숭늉 / 광산","스토리, 스릴러",대한민국을 뒤흔든 희대의 연쇄살인마 김신! 김신에게 가족을 잃은 지후는 또 다른 피해자 두석을 만나 인간병기로 훈련된다.그리고 살인마를 맨주먹으로 때려죽이기 위해 스스로 교도소로 향하는데...'우리나라는 97년 이후로 사형집행이 되지 않았어. 누군가는 집행해야 하지 않을까?',9.87,2022.12.24 22:51,FALSE,15세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=795262
778740,산신의 주인입니다,뇽,"스토리, 로맨스","요괴의 저주를 받아 심장을 잃은 산신이1000년의 근신생활 끝에 자신의 심장을 찾아 인간세상으로 나오면서 벌어지는 시끌벅적 코믹 로맨스판타지 ""심장아, 나 너 찾고있냐...?""",9.87,2021.09.20 10:00,TRUE,,TRUE,https://comic.naver.com/webtoon/list?titleId=778740
792372,산의 시간,지님,"스토리, 드라마","어린 시절, 우연한 계기로 만나게 된 '산이 오빠'.유독 '소미'에게만 특별하게 대해주는 모습 때문에 소미는 오랜 짝사랑을 하게 되고, 결국 산이와 같은 대학교에 진학하게 된다. 하지만 핑크빛 대학 생활을 꿈꾸던 소미 앞에 중학교 시절 앙숙이었던 '영도'가 나타나면서 꿈꾸던 대학생활은 물 건너간다.그러던 어느 날, 영도가 소미에게 산이를 조심하라고 경고하는데... 어딘가 비밀스러운 나의 첫사랑 산이 오빠, 그리고 우리가 지나쳐 온 많은 비밀의 시간들. <산의 시간>",9.52,2022.12.27 22:53,FALSE,전체연령가,FALSE,https://comic.naver.com/webtoon/list?titleId=792372
726095,살人스타그램,령,"옴니버스, 스릴러","[SNS 잔혹 스릴러 시즌2]귀신마피아게임에 초대되었습니다.플레이어 중에 사람을 죽이는 귀신이 숨어있습니다. 누구일까요? 투표를 시작하겠습니다. 5,4,3,2...1.",9.61,2021.06.17 23:09,TRUE,18세 이용가,TRUE,https://comic.naver.com/webtoon/list?titleId=726095
795235,살고 싶어? 그럼 키스해,박나현 / 곽다빈 / 참새퀸,"스토리, 로맨스","아버지의 지방 발령으로 예기치 못하게 전학을 가게 된 은지는 단짝 친구들과 떨어지게 됐다. 은지는 전학 간 친구들하고 친해지려고 하지만 친구들과 어울리지 못하고 혼자 학교생활을 보낸다. 시간이 갈수록 외로움을 느끼며 점점 지쳐가는 은지, 그러다 은지는 신호를 무시하고 달려든 트럭에 교통사고를 당하게 된다. 눈을 떠보니 이미 싸늘하게 죽어있는 제 시신을 부둥켜안고 울고 있는 부모님이 보게 된 은지 은지는 실신할 듯 울고 있는 부모님과 아무것도 이루지 못한 자신의 인생을 되돌아보며 죽고 싶지 않다고 소망한다. 그때 정체불명의 미남자 '조슈아'가 갑자기 나타나 은지에게 묻는다. ""살고 싶어? 그럼 키스해"" 은지는 다시 인생을 살기 위해 '악마 조슈아'와 첫 키스로 위험한 계약에 맹세한다.",9.73,2022.12.27 22:00,FALSE,전체연령가,TRUE,https://comic.naver.com/webtoon/list?titleId=795235
